mode,group,metric,mean,ci_low,ci_high,n,source
baseline,hip,MAE_deg,23.937546827722866,,,0,metrics.json (no CI)
baseline,hip,RMSE_deg,31.64879237004986,,,0,metrics.json (no CI)
baseline,knee,MAE_deg,35.855998144327934,,,0,metrics.json (no CI)
baseline,knee,RMSE_deg,51.15027665721823,,,0,metrics.json (no CI)
baseline,ankle,MAE_deg,40.99065884977948,,,0,metrics.json (no CI)
baseline,ankle,RMSE_deg,44.51694186042289,,,0,metrics.json (no CI)
exp6,hip,MAE_deg,5.720556685557095,,,0,metrics.json (no CI)
exp6,hip,RMSE_deg,8.320736448057119,,,0,metrics.json (no CI)
exp6,knee,MAE_deg,5.084910701946693,,,0,metrics.json (no CI)
exp6,knee,RMSE_deg,7.0225966801184985,,,0,metrics.json (no CI)
exp6,ankle,MAE_deg,2.055955425764353,,,0,metrics.json (no CI)
exp6,ankle,RMSE_deg,3.76367933962619,,,0,metrics.json (no CI)
paper6,hip,MAE_deg,6.180898526946548,,,0,metrics.json (no CI)
paper6,hip,RMSE_deg,7.863372565522721,,,0,metrics.json (no CI)
paper6,knee,MAE_deg,9.38488107023447,,,0,metrics.json (no CI)
paper6,knee,RMSE_deg,12.424975924454403,,,0,metrics.json (no CI)
paper6,ankle,MAE_deg,4.5060997162377765,,,0,metrics.json (no CI)
paper6,ankle,RMSE_deg,8.386283932969503,,,0,metrics.json (no CI)
