mode,joint,MAE_deg,RMSE_deg
baseline,hip_R,17.735636597693833,23.832619095134497
baseline,knee_R,53.782740124059366,67.72083303450461
baseline,ankle_R,38.62562724311173,42.09561567559196
baseline,hip_L,30.139457057751898,37.8853320433025
baseline,knee_L,17.929256164596506,25.428141444719802
baseline,ankle_L,43.355690456447235,46.813196495234116
paper6,hip_R,4.374874067982714,5.96341172517616
paper6,knee_R,9.808907420369753,13.467319478143756
paper6,ankle_R,2.757492989185382,3.8701203435578515
paper6,hip_L,7.9869229859103825,9.386318597003953
paper6,knee_L,8.960854720099187,11.286778084119172
paper6,ankle_L,6.2547064432901704,11.210784314005176
exp6,hip_R,6.746694897387637,9.609139185011818
exp6,knee_R,4.183073199598188,5.931223439415376
exp6,ankle_R,1.5048950069263591,2.0988698567289896
exp6,hip_L,4.694418473726553,6.7921833160717044
exp6,knee_L,5.986748204295197,7.9658217890530505
exp6,ankle_L,2.607015844602347,4.89135049526943
